year,site,plot,date,rep,stage1,stage2,stage3,stage4,stage5,average,overall,
8,1,1,139,1,1,2,,,,1.5,1.75, 
8,1,1,147,1,1,2,3,4,5,3,3.5,
8,1,1,152,1,1,2,3,4,5,3,2.5,
8,1,1,160,1,2,3,4,5,6,4,5.75,
8,1,1,166,1,4,5,,,,4.5,4.25,
8,1,1,173,1,5,6,,,,5.5,5.75,
8,1,1,181,1,6,,,,,6,6,
8,1,1,139,2,1,2,3,4,,2.5,2.25,
8,1,1,147,2,1,2,3,4,,2.5,2.25,
8,1,1,152,2,1,2,3,4,,2.5,3.25,
8,1,1,160,2,3,4,,,,3.5,5.25,
8,1,1,166,2,3,4,5,,,4,4.75,
8,1,1,173,2,5,6,,,,5.5,5.75,
8,1,1,181,2,6,,,,,6,6,
8,1,1,139,3,1,2,3,4,,2.5,2.75,
8,1,1,147,3,3,4,5,,,4,3.75,
8,1,1,152,3,3,4,5,,,4,4.75,
8,1,1,160,3,3,4,5,6,,4.5,4.75,
8,1,1,166,3,3,4,5,6,,4.5,5.75,
8,1,1,173,3,6,,,,,6,6,
8,1,1,139,4,1,2,3,4,,2.5,2.5,
8,1,1,147,4,3,4,5,,,4,3.75,
8,1,1,152,4,3,4,5,,,4,4.75,
8,1,1,160,4,3,4,5,6,,4.5,4.75,
8,1,1,166,4,3,4,5,6,,4.5,5.5,
8,1,1,173,4,6,,,,,6,6,
8,1,1,139,5,1,2,3,4,,2.5,2.75,
8,1,1,147,5,3,4,5,,,4,3.75,
8,1,1,152,5,3,4,5,,,4,4.75,
8,1,1,160,5,3,4,5,6,,4.5,4.75,
8,1,1,166,5,3,5,6,,,4.666666667,5.75,
8,1,1,173,5,5,6,,,,5.5,5.75,
8,1,1,181,5,6,,,,,6,6,
8,1,2,139,1,1,2,3,4,,2.5,2.25,
8,1,2,147,1,1,2,3,4,5,3,2.75,
8,1,2,152,1,2,3,4,5,,3.5,3.75,
8,1,2,160,1,3,4,5,,,4,4.75,
8,1,2,166,1,4,5,6,,,5,4.75,
8,1,2,173,1,5,6,,,,5.5,5.75,
8,1,2,181,1,6,,,,,6,6,
8,1,2,139,2,1,2,3,4,,2.5,2.5,
8,1,2,147,2,1,2,3,4,5,3,3.75,
8,1,2,152,2,3,4,5,,,4,3.75,
8,1,2,160,2,4,5,6,,,5,4.5,
8,1,2,166,2,4,,,,,4,4,
8,1,2,173,2,6,,,,,6,6,
8,1,2,139,3,1,2,3,4,,2.5,2.25,
8,1,2,147,3,2,3,4,5,,3.5,3.5,
8,1,2,152,3,3,4,5,,,4,4.75,
8,1,2,160,3,3,4,5,6,,4.5,3.75,
8,1,2,166,3,5,6,,,,5.5,5.75,
8,1,2,173,3,5,6,,,,5.5,5.75,
8,1,2,181,3,6,,,,,6,6,
8,1,2,139,4,1,2,3,4,,2.5,2.25,
8,1,2,147,4,2,3,4,5,,3.5,3.75,
8,1,2,152,4,2,3,4,5,,3.5,4.75,
8,1,2,160,4,3,4,5,,,4,4.75,
8,1,2,166,4,4,5,6,,,5,5.5,
8,1,2,173,4,5,6,,,,5.5,5.75,
8,1,2,189,4,6,,,,,6,6,
8,1,2,139,5,1,2, , ,,1.5,1.25,
8,1,2,147,5,1,2,3,4,5,3,3.25,
8,1,2,152,5,1,2,3,4,5,3,3.75,
8,1,2,160,5,3,4,5,,,4,5.75,
8,1,2,166,5,3,4,5,,,4,4.75,
8,1,2,173,5,5,6,,,,5.5,5.75,
8,1,2,181,5,6, , ,,,6,6,
8,1,3,139,1,1,2,3,4,,2.5,2.5,
8,1,3,147,1,1,2,3,4,5,3,2.5,
8,1,3,152,1,3,4,5,,,4,4.75,
8,1,3,166,1,4,5,6,,,5,4.75,
8,1,3,173,1,6,,,,,6,6,
8,1,3,139,2,1,2,3,4,,2.5,2.25,
8,1,3,147,2,1,2,3,4,,2.5,3.75,
8,1,3,152,2,3,4,5,,,4,4.75,
8,1,3,166,2,4,5,6,,,5,4.25,
8,1,3,173,2,5,6,,,,5.5,5.75,
8,1,3,181,2,6,,,,,6,6,
8,1,3,139,3,1,2,,,,1.5,1.75,
8,1,3,147,3,1,2,3,4,,2.5,2.25,
8,1,3,152,3,3,4,5,,,4,4.75,
8,1,3,160,3,3,4,5,,,4,4.75,
8,1,3,166,3,6,,,,,6,6,
8,1,3,139,4,1,2,3,4,,2.5,2.75,
8,1,3,147,4,2,3,4,,,3,3.75,
8,1,3,152,4,3,4,5,,,4,44.75,
8,1,3,160,4,3,4,5,,,4,4.75,
8,1,3,166,4,4,5,6,,,5,4.75,
8,1,3,173,4,5,6,,,,5.5,5.75,
8,1,3,181,4,6,,,,,6,6,
8,1,3,139,5,1,2,3,4,,2.5,2.25,
8,1,3,147,5,2,3,4,,,3,3.25,
8,1,3,152,5,3,4,5,,,4,4.75,
8,1,3,160,5,3,4,5,6,,4.5,4.25,
8,1,3,166,5,4,5,,,,4.5,4.25,
8,1,3,173,5,5,6,,,,5.5,5.75,
8,1,3,181,5,6,,,,,6,6,
8,1,4,139,1,1,2,3,,,2,1.75,
8,1,4,147,1,2,3,4,,,3,2.75,
8,1,4,152,1,2,3,4,5,,3.5,3.75,
8,1,4,160,1,3,4,5,6,,4.5,5.5,
8,1,4,166,1,5,6,,,,5.5,5.75,
8,1,4,173,1,5,6,,,,5.5,5.75,
8,1,4,181,1,6,,,,,6,6,
8,1,4,139,2,1,2,3,4,,2.5,2.5,
8,1,4,147,2,2,3,4,,,3,2.5,
8,1,4,152,2,3,4,5,,,4,3.5,
8,1,4,160,2,3,4,5,6,,4.5,5.25,
8,1,4,166,2,5,6,,,,5.5,5.75,
8,1,4,173,2,5,6,,,,5.5,5.75,
8,1,4,181,2,6,,,,,6,6,
8,1,4,139,3,1,2,3,4,,2.5,2.75,
8,1,4,147,3,1,2,3,4,5,3,3.75,
8,1,4,152,3,2,3,4,5,,3.5,4.75,
8,1,4,160,3,3,4,5,6,,4.5,4.25,
8,1,4,166,3,5,6,,,,5.5,5.5,
8,1,4,173,3,5,6,,,,5.5,5.75,
8,1,4,181,3,6,,,,,6,6,
8,1,4,139,4,1,2,3,4,,2.5,2.5,
8,1,4,147,4,2,3,4,,,3,2.75,
8,1,4,152,4,2,3,4,5,,3.5,3.75,
8,1,4,160,4,3,4,5,6,,4.5,4.25,
8,1,4,166,4,4,5,6,,,5,5.75,
8,1,4,173,4,4,5,6, ,,5,5.75,
8,1,4,181,4,6,,,,,6,6,
8,1,4,139,5,1,2,3,4,,2.5,2.25,
8,1,4,147,5,1,2,3,4,,2.5,3.75,
8,1,4,152,5,2,3,4,5,,3.5,3.75,
8,1,4,160,5,3,4,5,6,,4.5,4.75,
8,1,4,166,5,5,6,,,,5.5,5.75,
8,1,4,181,5,6,,,,,6,6,
8,1,5,139,1,1,2,3,4,,2.5,2.25,
8,1,5,147,1,1,2,3,4,5,3,3.75,
8,1,5,152,1,3,4,5,,,4,4.75,
8,1,5,160,1,3,4,5,6,,4.5,5.5,
8,1,5,166,1,6,,,,,6,6,
8,1,5,139,2,1,2,3,4,,2.5,2.25,
8,1,5,147,2,2,3,4,,,3,3.75,
8,1,5,152,2,3,4,5,,,4,4.75,
8,1,5,160,2,3,4,5,6,,4.5,5.75,
8,1,5,166,2,5,6,,,,5.5,5.75,
8,1,5,173,2,3,4,5,6,,4.5,5.75,
8,1,5,181,2,6,,,,,6,6,
8,1,5,139,3,1,2,3,4,,2.5,2.25,
8,1,5,147,3,1,2,3,,,2,3.25,
8,1,5,152,3,2,,4,5,,3.666666667,4.75,
8,1,5,160,3,3,4,5,6,,4.5,4.5,
8,1,5,166,3,4,5,6,,,5,5..25,
8,1,5,173,3,3,4,5,6,,4.5,5.5,
8,1,5,181,3,6,,,,,6,6,
8,1,5,139,4,1,2,,,,1.5,1.75,
8,1,5,147,4,1,2,3,4,,2.5,2.25,
8,1,5,152,4,3,4,5,,,4,4.5,
8,1,5,160,4,3,4,5,6,,4.5,4.25,
8,1,5,166,4,4,5,6,,,5,5.25,
8,1,5,173,4,5,6,,,,5.5,5.75,
8,1,5,181,4,6,,,,,6,6,
8,1,5,139,5,1,2,,,,1.5,1.75,
8,1,5,147,5,1,2,3,4,5,3,2.75,
8,1,5,152,5,2,3,4,5,,3.5,4.25,
8,1,5,160,5,3,4,5, ,,4,4.75,
8,1,5,166,5,4,5,6,,,5,5.25,
8,1,5,173,5,5,6,,,,5.5,5.75,
8,1,5,181,5,6,,,,,6,6,
8,1,6,139,1,1,2,3,,,2,2,
8,1,6,147,1,1,2,3,4,,2.5,2.25,
8,1,6,152,1,1,2,3,4,5,3,3.75,
8,1,6,160,1,4,,,,,4,4,
8,1,6,166,1,4,5,,,,4.5,4.25,
8,1,6,173,1,5,6,,,,5.5,5.75,
8,1,6,181,1,6,,,,,6,6,
8,1,6,139,2,1,2,,,,1.5,1.75,
8,1,6,147,2,1,2,3,4,,2.5,2.25,
8,1,6,152,2,2,3,4,5,,3.5,4.25,
8,1,6,160,2,3,4,5,,,4,4.5,
8,1,6,166,2,5,6,,,,5.5,5.25,
8,1,6,181,2,6,,,,,6,6,
8,1,6,139,3,1,2,,,,1.5,1.5,
8,1,6,147,3,1,2,3,4,,2.5,2.25,
8,1,6,152,3,2,3,4,5,,3.5,2.75,
8,1,6,160,3,1,3,4,5,,3.25,4.25,
8,1,6,166,3,5,6,,,,5.5,5.75,
8,1,6,173,3,6,,,,,6,6,
8,1,6,139,4,1,2,,,,1.5,1.25,
