year,site,plot,date,rep,stage1,stage2,stage3,stage4,stage5,average,overall,
8,2,1,209,2,1,,,,,1,1,
8,2,1,218,2,2,,,,,2,2,
8,2,1,224,2,5,6,,,,5.5,5.25,
8,2,1,231,2,5,6,,,,5.5,5.5,
8,2,1,237,2,5,6,,,,5.5,5.75,
8,2,1,244,2,5,6,,,,5.5,5.75,
8,2,1,251,2,5,6,,,,5.5,5.75,
8,2,1,257,2,6,,,,,6,6,
8,2,1,187,3,0,,,,,0,0,
8,2,1,195,3,1,,,,,1,1,
8,2,1,209,3,1,,,,,1,1,
8,2,1,218,3,1,,,,,1,1,
8,2,1,224,3,3,4,,,,3.5,3.5,
8,2,1,231,3,4,5,,,,4.5,4.75,
8,2,1,237,3,4,5,6,,,5,5.25,
8,2,1,244,3,5,6,,,,5.5,5.25,
8,2,1,251,3,5,6,,,,5.5,5.75,
8,2,1,257,3,6,,,,,6,6,
8,2,1,181,4,0,,,,,0,0,
8,2,1,187,4,1,,,,,1,1,
8,2,1,195,4,1,,,,,1,1,
8,2,1,209,4,1,,,,,1,1,
8,2,1,218,4,1,2,,,,1.5,1.5,
8,2,1,224,4,4,5,6,,,5,4.75,
8,2,1,231,4,4,5,6,,,5,5.25,
8,2,1,237,4,4,5,6,,,5,5.25,
8,2,1,244,4,5,6,,,,5.5,5.25,
8,2,1,251,4,5,6,,,,5.5,5.75,
8,2,1,257,4,6,,,,,6,6,
8,2,1,187,5,0,,,,,0,0,
8,2,1,195,5,1,,,,,1,1,
8,2,1,209,5,1,,,,,1,1,
8,2,1,218,5,1,,,,,1,1,
8,2,1,224,5,1,2,,,,1.5,1.5,
8,2,1,231,5,4,5,,,,4.5,4.75,
8,2,1,237,5,4,5,,,,4.5,4.75,
8,2,1,244,5,5,6,,,,5.5,5.25,
8,2,1,251,5,5,6,,,,5.5,5.75,
8,2,1,257,5,6,,,,,6,6,
8,2,2,181,1,0,,,,,0,0,
8,2,2,187,1,1,,,,,1,1,
8,2,2,195,1,1,,,,,1,1,
8,2,2,209,1,1,,,,,1,1,
8,2,2,218,1,2,3,4,5,6,4,3.75,
8,2,2,224,1,4,5,6,,,5,5.25,
8,2,2,231,1,5,6,,,,5.5,5.5,
8,2,2,237,1,5,6,,,,5.5,5.75,
8,2,2,244,1,6,,,,,6,6,
8,2,2,175,2,0,,,,,0,0,
8,2,2,181,2,1,,,,,1,1,
8,2,2,187,2,1,,,,,1,1,
8,2,2,195,2,1,,,,,1,1,
8,2,2,209,2,1,2,,,,1.5,1.25,
8,2,2,218,2,2,3,4,,,3,3.25,
8,2,2,224,2,5,6,,,,5.5,5.25,
8,2,2,231,2,5,6,,,,5.5,5.5,
8,2,2,237,2,5,6,,,,5.5,5.5,
8,2,2,244,2,5,6,,,,5.5,5.75,
8,2,2,251,2,5,6,,,,5.5,5.75,
8,2,2,257,2,6,,,,,6,6,
8,2,2,175,3,0,,,,,0,0,
8,2,2,181,3,1,,,,,1,1,
8,2,2,187,3,1,,,,,1,1,
8,2,2,195,3,1,,,,,1,1,
8,2,2,209,3,2,,,,,2,2,
8,2,2,218,3,3,4,5,6,,4.5,4.5,
8,2,2,224,3,5,6,,,,5.5,5.5,
8,2,2,231,3,5,6,,,,5.5,5.75,
8,2,2,237,3,5,6,,,,5.5,5.75,
8,2,2,244,3,5,6,,,,5.5,5.75,
8,2,2,251,3,6,,,,,6,6,
8,2,2,175,4,0,,,,,0,0,
8,2,2,181,4,1,,,,,1,1,
8,2,2,187,4,1,,,,,1,1,
8,2,2,195,4,1,,,,,1,1,
8,2,2,209,4,1,2,,,,1.5,1.75,
8,2,2,218,4,3,4,5,6,,4.5,4.75,
8,2,2,224,4,5,6,,,,5.5,5.75,
8,2,2,231,4,6,,,,,6,6,
8,2,2,175,5,0,,,,,0,0,
8,2,2,181,5,1,,,,,1,1,
8,2,2,187,5,1,,,,,1,1,
8,2,2,195,5,1,,,,,1,1,
8,2,2,209,5,2,,,,,2,2,
8,2,2,218,5,4,,,,,4,4,
8,2,2,224,5,5,6,,,,5.5,5.5,
8,2,2,231,5,5,6,,,,5.5,5.75,
8,2,2,237,5,5,6,,,,5.5,5.75,
8,2,2,244,5,5,6,,,,5.5,5.75,
8,2,2,251,5,6,,,,,6,6,
8,2,3,175,1,0,,,,,0,0,
8,2,3,181,1,1,,,,,1,1,
8,2,3,187,1,1,,,,,1,1,
8,2,3,195,1,1,,,,,1,1,
8,2,3,209,1,2,,,,,2,2,
8,2,3,218,1,5,6,,,,5.5,5.25,
8,2,3,224,1,5,6,,,,5.5,5.75,
8,2,3,231,1,5,6,,,,5.5,5.75,
8,2,3,237,1,5,6,,,,5.5,5.75,
8,2,3,244,1,5,6,,,,5.5,5.75,
8,2,3,251,1,6,,,,,6,6,
8,2,3,175,2,0,,,,,0,0,
8,2,3,181,2,1,,,,,1,1,
8,2,3,187,2,1,,,,,1,1,
8,2,3,195,2,1,2,,,,1.5,1.25,
8,2,3,209,2,2,,,,,2,2,
8,2,3,218,2,3,4,5,6,,4.5,4.75,
8,2,3,224,2,5,6,,,,5.5,5.5,
8,2,3,231,2,5,6,,,,5.5,5.75,
8,2,3,237,2,5,6,,,,5.5,5.75,
8,2,3,244,2,5,6,,,,5.5,5.75,
8,2,3,251,2,6,,,,,6,6,
8,2,3,175,3,0,,,,,0,0,
8,2,3,181,3,1,,,,,1,1,
8,2,3,187,3,1,,,,,1,1,
8,2,3,195,3,1,,,,,1,1,
8,2,3,209,3,2,,,,,2,2,
8,2,3,218,3,4,5,6,,,5,5.25,
8,2,3,224,3,5,6,,,,5.5,5.75,
8,2,3,231,3,5,6,,,,5.5,5.75,
8,2,3,237,3,5,6,,,,5.5,5.75,
8,2,3,244,3,5,6,,,,5.5,5.75,
8,2,3,251,3,5,6,,,,5.5,5.75,
8,2,3,257,3,6,,,,,6,6,
8,2,3,175,4,0,,,,,0,0,
8,2,3,181,4,1,,,,,1,1,
8,2,3,187,4,1,,,,,1,1,
8,2,3,195,4,1,,,,,1,1,
8,2,3,209,4,2,,,,,2,2,
8,2,3,218,4,3,4,5,,,4,4.25,
8,2,3,224,4,5,6,,,,5.5,5.25,
8,2,3,231,4,5,6,,,,5.5,5.75,
8,2,3,237,4,5,6,,,,5.5,5.75,
8,2,3,244,4,5,6,,,,5.5,5.75,
8,2,3,251,4,6,,,,,6,6,
8,2,3,175,5,0,,,,,0,0,
8,2,3,181,5,1,,,,,1,1,
8,2,3,187,5,1,,,,,1,1,
8,2,3,195,5,1,,,,,1,1,
8,2,3,209,5,2,,,,,2,2,
8,2,3,218,5,4,5,6,,,5,5.25,
8,2,3,224,5,5,6,,,,5.5,5.75,
8,2,3,231,5,5,6,,,,5.5,5.75,
8,2,3,237,5,5,6,,,,5.5,5.75,
8,2,3,244,5,5,6,,,,5.5,5.75,
8,2,3,251,5,6,,,,,6,6,
8,2,4,175,1,0,,,,,0,0,
8,2,4,181,1,1,,,,,1,1,
8,2,4,187,1,1,,,,,1,1,
8,2,4,195,1,1,,,,,1,1,
8,2,4,209,1,2,,,,,2,2,
8,2,4,218,1,3,4,5,6,,4.5,4.75,
8,2,4,224,1,5,6,,,,5.5,5.75,
8,2,4,231,1,5,6,,,,5.5,5.75,
8,2,4,237,1,5,6,,,,5.5,5.75,
8,2,4,244,1,5,6,,,,5.5,5.75,
8,2,4,251,1,6,,,,,6,6,
8,2,4,187,2,0,,,,,0,0,
8,2,4,195,2,1,,,,,1,1,
8,2,4,209,2,1,,,,,1,1,
8,2,4,218,2,5,6,,,,5.5,3.25,
8,2,4,224,2,3,4,5,,,4,4.25,
8,2,4,231,2,5,6,,,,5.5,5.5,
8,2,4,237,2,5,6,,,,5.5,5.5,
8,2,4,244,2,5,6,,,,5.5,5.75,
8,2,4,251,2,6,,,,,6,6,
8,2,4,175,3,0,,,,,0,0,
8,2,4,181,3,1,,,,,1,1,
8,2,4,187,3,1,,,,,1,1,
8,2,4,195,3,1,,,,,1,1,
8,2,4,209,3,1,2, ,,,1.5,1.75,
8,2,4,231,3,4,5,,,,4.5,4.75,
8,2,4,237,3,4,5,6,,,5,4.75,
8,2,4,244,3,5,6,,,,5.5,5.75,
8,2,4,251,3,5,6,,,,5.5,5.75,
8,2,4,257,3,6,,,,,6,6,
8,2,4,187,4,0,,,,,0,0,
8,2,4,195,4,1,,,,,1,1,
8,2,4,209,4,1, ,,,,1,1,
8,2,4,218,4,1,2,3,,,2,2.25,
8,2,4,224,4,2,3,4,,,3,2.75,
8,2,4,231,4,4,5,,,,4.5,4.5,
8,2,4,237,4,4,5,6,,,5,4.75,
8,2,4,244,4,5,6,,,,5.5,5.25,
8,2,4,251,4,6,,,,,6,6,
8,2,4,181,5,0,,,,,0,0,
8,2,4,187,5,1,,,,,1,1,
8,2,4,195,5,1,,,,,1,1,
8,2,4,209,5,1,2,3,4, ,2.5,2.25,
8,2,4,218,5,2,3,4,,,3,3.25,
8,2,4,224,5,4,5,6,,,5,5.25,
8,2,4,231,5,4,5,6,,,5,5.25,
8,2,4,237,5,4,5,6,,,5,4.75,
8,2,4,244,5,5,6,,,,5.5,5.5,
8,2,4,251,5,5,6,,,,5.5,5.75,
8,2,4,257,5,6,,,,,6,6,
8,2,5,175,1,0,,,,,0,0,
8,2,5,181,1,1,,,,,1,1,
8,2,5,187,1,1,,,,,1,1,
8,2,5,195,1,1,,,,,1,1,
8,2,5,209,1,2,,,,,2,2,
8,2,5,218,1,3,4,5,6,,4.5,4.25,
8,2,5,224,1,5,6,,,,5.5,5.75,
8,2,5,231,1,5,6,,,,5.5,5.75,
8,2,5,237,1,5,6,,,,5.5,5.75,
8,2,5,244,1,5,6,,,,5.5,5.75,
8,2,5,251,1,6,,,,,6,6,
8,2,5,175,2,0,,,,,0,0,
8,2,5,181,2,1,,,,,1,1,
8,2,5,187,2,1,,,,,1,1,
8,2,5,195,2,1,,,,,1,1,
8,2,5,209,2,1,,,,,1,1,
8,2,5,218,2,2,3,4,5,6,4,3.25,
8,2,5,231,2,4,5,,,,4.5,4.75,
8,2,5,237,2,4,5,6,,,5,4.75,
8,2,5,244,2,5,6,,,,5.5,5.75,
8,2,5,251,2,6,,,,,6,6,
8,2,5,175,3,0,,,,,0,0,
8,2,5,181,3,1,,,,,1,1,
8,2,5,187,3,1,,,,,1,1,
8,2,5,195,3,1,,,,,1,1,
8,2,5,209,3,1,,,,,1,1,
8,2,5,218,3,2,3,4,5,6,4,4.5,
8,2,5,224,3,2,3,4,5,6,4,4.75,
8,2,5,231,3,4,5,6,,,5,5.25,
8,2,5,237,3,5,6,,,,5.5,5.75,
8,2,5,244,3,5,6,,,,5.5,5.75,
8,2,5,251,3,5,6,,,,5.5,5.75,
8,2,5,257,3,6,,,,,6,6,
8,2,5,175,4,0,,,,,0,0,
8,2,5,181,4,1,,,,,1,1,
8,2,5,187,4,1,,,,,1,1,
8,2,5,195,4,1,,,,,1,1,
8,2,5,209,4,2,,,,,2,2,
8,2,5,218,4,3,4,5,6,,4.5,4.5,
8,2,5,224,4,4,5,6,,,5,5.25,
8,2,5,231,4,5,6,,,,5.5,5.75,
8,2,5,237,4,5,6,,,,5.5,5.75,
8,2,5,244,4,5,6,,,,5.5,5.75,
8,2,5,251,4,6,,,,,6,6,
8,2,5,175,5,0,,,,,0,0,
8,2,5,181,5,1,,,,,1,1,
8,2,5,187,5,1,,,,,1,1,
8,2,5,195,5,1,,,,,1,1,
8,2,5,209,5,2,,,,,2,2,
8,2,5,218,5,3,4,5,6,,4.5,4.25,
8,2,5,224,5,5,6,,,,5.5,5.25,
8,2,5,231,5,5,6,,,,5.5,5.75,
8,2,5,237,5,5,6,,,,5.5,5.75,
8,2,5,244,5,5,6,,,,5.5,5.75,
8,2,5,251,5,6,,,,,6,6,
8,2,6,175,1,0,,,,,0,0,
8,2,6,181,1,1,,,,,1,1,
8,2,6,187,1,1,,,,,1,1,
8,2,6,195,1,1,,,,,1,1,
8,2,6,209,1,2,,,,,2,2,
8,2,6,218,1,4,5,6,,,5,4.75,
8,2,6,224,1,5,6,,,,5.5,5.75,
8,2,6,231,1,5,6,,,,5.5,5.75,
8,2,6,237,1,5,6,,,,5.5,5.75,
8,2,6,244,1,5,6,,,,5.5,5.75,
8,2,6,251,1,6,,,,,6,6,
8,2,6,175,2,0,,,,,0,0,
8,2,6,181,2,1,,,,,1,1,
8,2,6,187,2,1,,,,,1,1,
8,2,6,195,2,1,,,,,1,1,
8,2,6,209,2,2,,,,,2,2,
8,2,6,218,2,5,6,,,,5.5,5.25,
8,2,6,224,2,5,6,,,,5.5,5.75,
8,2,6,231,2,5,6,,,,5.5,5.75,
8,2,6,237,2,5,6,,,,5.5,5.75,
8,2,6,244,2,5,6,,,,5.5,5.75,
8,2,6,251,2,6,,,,,6,6,
8,2,6,175,3,0,,,,,0,0,
8,2,6,181,3,1,,,,,1,1,
8,2,6,187,3,1,,,,,1,1,
8,2,6,195,3,1,,,,,1,1,
8,2,6,209,3,2,,,,,2,2,
8,2,6,218,3,5,6,,,,5.5,5.25,
8,2,6,224,3,5,6,,,,5.5,5.5,
8,2,6,231,3,5,6,,,,5.5,5.75,
8,2,6,237,3,5,6,,,,5.5,5.75,
8,2,6,244,3,5,6,,,,5.5,5.75,
8,2,6,251,3,6,,,,,6,6,
8,2,6,175,4,0,,,,,0,0,
8,2,6,181,4,1,,,,,1,1,
8,2,6,187,4,1,,,,,1,1,
8,2,6,195,4,1,,,,,1,1,
8,2,6,209,4,2,,,,,2,2,
8,2,6,218,4,3,4,5,,,4,4.25,
8,2,6,224,4,5,6,,,,5.5,5.75,
8,2,6,231,4,5,6,,,,5.5,5.75,
8,2,6,237,4,5,6,,,,5.5,5.75,
8,2,6,244,4,5,6,,,,5.5,5.75,
8,2,6,251,4,6,,,,,6,6,
8,2,6,181,5,0,,,,,0,0,
8,2,6,187,5,1,,,,,1,1,
8,2,6,195,5,1,,,,,1,1,
8,2,6,209,5,2,,,,,2,2,
8,2,6,218,5,5,,,,,5,5,
8,2,6,224,5,5,6,,,,5.5,5.5,
8,2,6,231,5,5,6,,,,5.5,5.75,
8,2,6,237,5,5,6,,,,5.5,5.75,
8,2,6,244,5,6,,,,,6,6,
8,2,7,187,1,0,,,,,0,0,
8,2,7,195,1,1,,,,,1,1,
8,2,7,209,1,2,,,,,2,2,
8,2,7,218,1,2, ,,,,2,2,
8,2,7,224,1,4,5,6,,,5,5.25,
8,2,7,231,1,4,5,6,,,5,5.25,
8,2,7,237,1,4,5,6,,,5,5.25,
8,2,7,244,1,5,6,,,,5.5,5.25,
8,2,7,251,1,6,,,,,6,6,
8,2,7,187,2,0,,,,,0,0,
8,2,7,195,2,1,,,,,1,1,
8,2,7,209,2,1,,,,,1,1,
8,2,7,218,2,2,3,4,,,3,3.25,
8,2,7,224,2,4,5,6,,,5,4.75,
8,2,7,231,2,5,6,,,,5.5,5.25,
8,2,7,237,2,5,6,,,,5.5,5.5,
8,2,7,244,2,5,6,,,,5.5,5.75,
8,2,7,251,2,5,6,,,,5.5,5.75,
8,2,7,257,2,6,,,,,6,6,
8,2,7,187,3,0,,,,,0,0,
8,2,7,195,3,1,,,,,1,1,
8,2,7,209,3,1,,,,,1,1,
8,2,7,218,3,2, ,  , , ,2,2,
8,2,7,224,3,3,4,5,,,4,3.75,
8,2,7,231,3,5,6,,,,5.5,5.25,
8,2,7,237,3,5,6,,,,5.5,5.25,
8,2,7,244,3,5,6,,,,5.5,5.5,
8,2,7,251,3,6,,,,,6,6,
8,2,7,187,4,0,,,,,0,0,
8,2,7,195,4,1,,,,,1,1,
8,2,7,209,4,1,2,,,,1.5,1.25,
8,2,7,218,4,4,5,,,,4.5,4.25,
8,2,7,224,4,1,2,3,4,5,3,3.75,
8,2,7,231,4,4,5,6,,,5,4.5,
8,2,7,237,4,4,5,6,,,5,4.75,
8,2,7,244,4,5,6,,,,5.5,5.25,
8,2,7,251,4,5,6,,,,5.5,5.75,
8,2,7,257,4,6,,,,,6,6,
8,2,7,187,5,0,,,,,0,0,
8,2,7,195,5,1,,,,,1,1,
8,2,7,209,5,1,2,,,,1.5,1.75,
8,2,7,218,5,2,3,4,5,6,4,3.5,
8,2,7,224,5,3,4,5,6,,4.5,4.25,
8,2,7,231,5,4,5,6,,,5,4.75,
8,2,7,237,5,4,5,6,,,5,4.75,
8,2,7,244,5,5,6,,,,5.5,5.25,
8,2,7,251,5,5,6,,,,5.5,5.75,
8,2,7,257,5,6,,,,,6,6,
8,2,8,187,1,0,,,,,0,0,
8,2,8,195,1,1,,,,,1,1,
8,2,8,209,1,2,,,,,2,2,
8,2,8,218,1,4,5,6,,,5,5.25,
8,2,8,224,1,5,6,,,,5.5,5.75,
8,2,8,231,1,5,6,,,,5.5,5.75,
8,2,8,237,1,5,6,,,,5.5,5.75,
8,2,8,244,1,5,6,,,,5.5,5.75,
8,2,8,251,1,5,6,,,,5.5,5.75,
8,2,8,257,1,6,,,,,6,6,
8,2,8,187,2,0,,,,,0,0,
8,2,8,195,2,1,,,,,1,1,
8,2,8,209,2,2,,,,,2,2,
8,2,8,218,2,5,6,,,,5.5,4.75,
8,2,8,224,2,5,6,,,,5.5,5.75,
8,2,8,231,2,5,6,,,,5.5,5.75,
8,2,8,237,2,5,6,,,,5.5,5.75,
8,2,8,244,2,5,6,,,,5.5,5.75,
8,2,8,251,2,6,,,,,6,6,
8,2,8,187,3,0,,,,,0,0,
8,2,8,195,3,1,,,,,1,1,
8,2,8,209,3,2,,,,,2,2,
8,2,8,218,3,5,6,,,,5.5,3.5,
8,2,8,224,3,5,6,,,,5.5,5.75,
8,2,8,231,3,5,6,,,,5.5,5.75,
8,2,8,237,3,5,6,,,,5.5,5.75,
8,2,8,244,3,5,6,,,,5.5,5.75,
8,2,8,251,3,6,,,,,6,6,
8,2,8,187,4,0,,,,,0,0,
8,2,8,195,4,1,,,,,1,1,
8,2,8,209,4,1,2,,,,1.5,1.5,
8,2,8,218,4,2,3,,,,2.5,4.75,
8,2,8,224,4,5,6,,,,5.5,5.75,
8,2,8,231,4,5,6,,,,5.5,5.75,
8,2,8,237,4,5,6,,,,5.5,5.75,
8,2,8,244,4,5,6,,,,5.5,5.75,
8,2,8,251,4,6,,,,,6,6,
8,2,8,187,5,0,,,,,0,0,
8,2,8,195,5,1,,,,,1,1,
8,2,8,209,5,1,2,,,,1.5,1.5,
